player,team,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,32nd,33rd,34th,35th
Lionel Andres Messi Cuccittini,MIA,410.83,373.19,337.19,316.29,297.81,295.25,288.43,298.80,293.97,319.78,286.68,253.94,268.00,274.97,278.96,269.56,268.80,269.23,250.44,261.74,258.67,244.11,233.14,236.63,251.25,238.82,233.41,242.62,241.00,231.57,210.54,230.30,217.68,228.38,216.92
Philip Zinckernagel,CHI,180.05,161.01,162.54,153.93,149.27,139.27,133.86,126.80,127.52,134.53,142.31,152.84,161.70,148.70,142.49,146.93,154.62,151.38,142.62,142.72,145.98,147.79,151.53,155.55,146.01,146.77,156.88,150.58,142.54,149.81,140.72,135.08,142.49,,
Heung Min Son,LAFC,413.67,352.41,294.69,286.60,297.84,319.25,306.97,323.71,286.53,313.25,283.39,275.87,311.96,302.14,291.69,290.33,297.76,273.18,300.78,274.28,267.12,290.65,271.35,274.27,315.15,301.54,273.77,256.01,243.58,249.85,245.79,248.68,246.46,252.74,256.64
Martin Exequiel Ojeda,ORL,200.51,186.54,174.63,129.62,114.02,118.05,123.47,111.22,115.82,120.30,128.61,122.23,121.83,120.53,124.19,136.53,127.71,118.27,117.18,116.45,110.99,121.35,114.92,117.01,136.98,126.46,120.71,125.29,121.67,118.85,119.33,123.79,114.15,,
Milan Iloski,PHI,58.65,59.08,58.97,59.93,54.48,59.40,54.42,53.19,52.69,55.54,56.10,55.61,56.90,52.48,57.89,58.81,66.73,65.53,71.23,65.02,61.01,63.94,58.09,65.61,62.71,61.53,58.75,60.16,65.51,58.97,70.31,71.20,56.21,59.67,
Anders Dreyer,SD,333.14,291.31,285.56,278.44,274.78,293.88,277.35,269.33,288.63,290.38,281.07,264.84,270.18,289.18,275.47,259.69,255.79,253.20,275.29,258.81,252.90,249.53,247.96,250.03,256.04,287.73,275.55,297.18,271.77,285.09,285.52,265.26,266.65,272.55,250.65
Diego Martin Rossi Marachlian,CLB,97.62,88.11,86.44,89.12,90.39,85.96,78.14,77.52,77.09,77.26,79.12,85.02,84.56,81.04,74.51,83.89,85.28,83.29,84.18,84.04,77.82,81.24,80.70,91.62,86.64,88.78,83.68,84.17,87.42,96.68,87.95,73.29,82.02,,
Maximilian Arfsten,CLB,65.01,53.41,48.39,50.92,51.99,56.26,53.68,60.31,54.79,53.43,53.00,54.65,51.33,45.07,48.65,57.16,57.71,49.14,61.83,59.37,53.59,59.17,55.36,66.99,74.08,64.51,64.35,73.65,74.37,68.91,72.36,56.45,57.44,,
Wilfried Zaha,CLT,77.64,74.68,82.54,82.52,78.18,83.09,77.94,75.54,71.33,66.11,80.85,64.64,63.07,60.47,66.10,62.44,62.92,60.38,67.05,66.39,72.99,69.00,63.55,62.46,66.39,69.05,62.76,61.26,62.02,65.32,71.15,70.71,68.85,,
Denis Bouanga,LAFC,219.24,132.19,114.61,120.08,119.72,113.73,114.72,114.10,118.31,126.64,119.02,126.35,128.33,118.88,127.27,130.70,128.75,129.93,117.59,114.59,119.84,125.16,122.03,118.59,126.96,139.48,129.11,148.81,126.99,141.42,149.91,151.52,161.65,,
Joseph Paintsil,LAG,76.27,66.97,52.84,52.53,54.43,52.45,49.51,51.03,55.23,50.47,54.42,62.10,56.75,49.57,54.20,53.28,52.99,55.94,50.46,49.85,53.49,53.80,55.60,57.32,62.78,57.56,55.96,59.09,60.25,65.02,60.59,59.47,,,
Gabriel Fortes Chaves,LAG,97.55,96.46,96.83,91.78,109.45,107.01,97.87,102.04,97.35,97.05,99.24,95.74,94.11,99.82,97.71,115.76,98.20,105.78,106.32,111.01,105.73,104.50,99.61,112.11,101.69,112.21,118.49,113.32,98.86,107.92,104.39,108.86,111.54,99.04,102.38
Hennadii Synchuk,MTL,30.18,25.30,26.85,26.62,24.18,23.18,23.06,22.59,22.44,23.49,23.49,21.94,22.78,22.01,21.56,19.36,20.91,18.92,16.68,21.92,20.51,21.08,20.17,20.75,20.26,24.92,31.18,18.38,22.25,18.55,22.32,20.16,,,
Kristoffer Velde,POR,37.40,37.60,41.28,36.29,45.60,45.57,42.75,39.35,39.12,42.66,40.72,46.82,42.38,42.99,45.78,49.32,42.64,42.89,44.91,45.92,44.24,44.53,47.37,46.45,46.73,50.50,54.59,49.21,53.75,52.33,47.63,46.55,47.43,,
Thomas Muller,VAN,210.65,161.71,155.60,166.33,143.73,154.81,149.30,152.66,142.41,160.23,168.88,149.98,154.39,150.45,165.60,152.57,142.90,144.20,137.02,111.64,124.49,134.12,128.27,146.39,132.15,133.12,131.54,129.90,138.17,132.10,143.15,138.42,138.32,133.50,139.49
Hugo Cuypers,CHI,48.20,76.99,46.05,43.59,45.10,49.77,41.35,39.75,38.37,43.05,35.01,38.20,37.60,37.66,36.54,35.98,38.82,36.23,35.72,35.96,31.12,36.51,38.60,40.19,43.66,50.31,40.05,45.06,49.78,42.35,44.17,40.41,40.43,,
Ahoueke Denkey,CIN,55.40,50.69,50.73,51.50,49.99,52.05,51.48,42.66,43.72,41.93,42.87,43.50,39.86,42.16,49.28,37.67,52.60,37.22,44.83,41.37,31.63,34.29,45.03,41.70,44.65,49.06,43.57,40.71,53.52,44.28,46.84,44.23,,,
Wessam Abou Ali,CLB,29.37,35.87,35.71,38.19,33.87,42.82,39.80,39.15,44.68,37.27,41.70,31.74,34.17,38.05,34.29,38.92,26.92,33.89,40.03,34.13,38.63,33.11,29.76,33.01,31.28,30.26,39.37,32.80,34.22,32.31,32.29,32.82,,,
Idan Toklomati Jorno,CLT,19.81,26.71,20.68,18.00,20.87,22.79,16.30,18.11,15.72,20.38,21.34,16.45,18.31,16.25,19.30,19.15,21.11,19.13,23.77,21.51,24.33,23.65,24.08,24.11,27.68,28.68,25.78,19.37,25.99,27.12,21.92,21.35,,,
Rafael Navarro Leal,COL,33.37,30.85,30.09,32.98,30.15,30.45,26.93,25.71,23.09,22.71,22.51,21.55,21.76,19.95,19.71,22.06,21.75,20.59,22.52,27.10,26.02,24.24,27.02,27.08,29.51,27.89,36.17,34.58,32.43,33.90,27.31,25.42,,,
Petar Musa,DAL,66.36,64.93,58.08,53.47,49.09,48.78,49.90,51.81,45.24,44.20,53.39,49.56,43.37,39.52,36.95,42.36,37.77,41.02,41.15,45.57,44.11,46.54,51.85,49.65,56.70,57.39,55.39,47.96,50.62,54.70,59.21,58.24,43.65,46.90,
Joao Klauss De Mello,LAG,85.71,57.41,38.67,44.52,45.62,44.06,36.19,46.67,45.43,50.35,42.94,51.32,47.15,51.66,48.03,56.75,40.71,53.51,49.71,45.99,47.41,49.74,52.05,55.17,54.33,48.14,50.41,50.62,52.73,52.13,47.77,43.58,47.43,,
German Berterame,MIA,178.52,170.22,134.84,143.59,155.64,144.95,138.93,135.98,122.27,119.30,131.89,116.69,122.56,128.38,114.55,142.84,127.93,131.43,130.05,134.63,124.33,118.64,126.12,,,,,,,,,,,,
Dor David Turgeman,NE,19.58,23.39,19.79,22.95,25.35,30.49,28.48,26.66,22.73,21.19,23.42,21.18,24.22,22.05,23.10,23.71,22.44,24.17,22.43,24.33,20.93,25.14,,,,,,,,,,,,,
Sam Surridge,NSH,105.12,72.71,67.91,68.35,70.70,71.70,71.97,68.22,71.33,71.68,70.86,65.82,58.89,66.02,64.66,70.97,60.65,63.51,60.16,56.67,56.90,64.19,67.06,65.02,71.20,73.39,83.08,68.57,82.30,73.71,94.07,68.53,70.85,,
Jean Eric Maxim Choupo Moting,RBNY,21.62,22.42,24.69,22.18,25.80,19.33,19.85,19.66,20.56,19.96,20.89,18.69,21.30,19.99,19.03,20.77,21.56,19.97,20.64,18.18,17.94,17.43,18.01,,,,,,,,,,,,
Morgan Guilavogui,RSL,21.11,19.58,17.94,13.66,15.08,14.34,14.51,17.14,14.00,13.84,13.51,13.71,16.88,12.13,12.11,14.98,14.70,15.62,18.35,15.72,12.47,15.04,14.29,14.82,16.65,17.16,22.58,17.98,21.26,18.91,,,,,
Dejan Joveljic,SKC,74.27,31.24,28.91,30.85,29.76,30.45,24.16,27.66,20.13,22.32,21.53,19.60,19.73,19.33,24.02,35.80,29.20,26.41,30.86,27.30,24.02,30.15,33.67,31.03,35.60,36.00,39.97,27.67,31.84,31.11,30.10,28.62,,,
Brian White,VAN,64.66,55.85,53.81,48.97,50.51,47.80,50.30,54.38,57.84,53.04,52.81,56.02,58.69,64.01,60.76,64.56,61.48,56.43,64.54,60.84,56.47,53.76,54.19,55.96,50.58,54.84,63.56,59.75,61.19,58.13,59.17,54.07,52.64,,
