player,team,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st
Brad Stuver,ATX,83.91,86.45,92.66,91.52,85.37,78.48,78.14,84.64,75.98,74.18,80.28,75.18,78.79,82.53,75.13,76.08,77.85,78.08,77.49,77.35,76.05,80.03,78.56,78.42,85.07,88.75,88.82,86.74,94.89,84.14,85.89
Christopher Brady,CHI,90.74,85.96,84.69,82.17,79.36,82.22,71.38,76.73,72.73,72.26,75.25,78.36,72.42,79.65,75.74,78.55,75.75,76.62,76.45,75.68,76.88,81.64,72.91,75.07,83.37,71.98,75.17,78.94,73.85,73.58,74.40
Roman Celentano,CIN,186.00,156.37,141.17,124.83,133.38,119.82,125.34,124.65,121.19,123.27,122.35,130.11,123.25,127.52,124.63,137.57,124.19,125.39,128.86,124.93,123.46,122.77,126.08,130.45,155.04,157.06,162.48,159.28,122.46,,
Kristijan Kahlina,CLT,187.96,156.89,153.16,155.44,156.97,156.27,155.82,164.36,157.20,141.02,135.36,152.60,130.28,142.46,147.84,151.29,127.22,137.02,142.79,123.46,121.35,137.43,131.62,143.82,138.84,143.02,152.29,135.39,148.35,140.23,
Hugo Lloris,LAFC,150.06,152.74,122.77,157.97,111.96,101.11,98.47,102.24,110.53,113.77,116.07,90.85,98.09,107.03,115.36,101.57,99.88,99.53,91.69,99.93,90.28,90.46,97.08,102.85,94.37,86.58,89.61,97.13,89.93,89.64,91.34
Dayne St Clair,MIA,192.64,219.33,187.44,191.77,198.67,194.64,205.66,168.36,164.70,151.27,141.82,152.60,167.42,164.22,161.41,167.25,158.87,158.74,165.78,151.21,164.88,143.28,148.56,157.84,158.22,162.18,169.34,151.21,,,
Brian Schwake,NSH,108.76,102.72,96.98,99.56,96.69,96.19,92.65,76.13,83.61,75.33,87.05,87.76,81.37,88.09,82.52,89.65,88.18,87.45,83.97,83.20,83.65,90.06,93.18,103.44,99.48,92.13,98.03,90.13,88.99,,
Freese Matthew,NYC,192.27,104.67,99.32,110.66,99.64,99.59,105.77,99.72,101.82,103.01,101.60,85.80,97.42,94.82,95.04,91.57,99.35,91.83,88.20,91.84,96.32,94.68,101.61,90.32,105.30,96.47,110.32,113.83,97.26,,
James Pantemis,POR,71.98,95.75,74.84,82.15,80.72,82.03,76.94,71.58,74.40,76.49,76.22,71.11,71.62,70.14,68.77,74.64,81.14,77.46,74.78,69.41,70.58,73.81,68.03,71.92,76.41,73.59,82.88,78.42,68.71,,
Rafael Cabral Barbosa,RSL,85.85,101.15,82.75,83.71,81.25,83.99,83.12,81.08,74.07,81.29,77.96,75.97,72.02,77.80,76.36,82.25,71.55,81.41,81.88,81.53,70.28,75.02,84.60,70.54,79.13,78.49,81.10,81.54,83.78,84.73,85.31
Yohei Takaoka,VAN,165.47,157.23,184.16,167.10,154.07,167.20,177.00,177.18,162.64,163.16,157.08,166.03,162.55,164.24,162.37,178.47,164.09,168.03,161.04,148.85,143.04,156.25,149.90,149.55,149.56,145.74,154.88,161.48,153.46,182.42,156.39
Andre Blake,PHI,151.23,102.36,105.44,102.24,102.91,101.70,96.82,100.06,99.26,100.89,100.78,104.21,97.29,100.65,91.96,97.67,98.32,103.49,103.39,116.86,111.20,106.31,100.59,105.81,111.11,135.73,110.78,118.91,113.40,,
Andrew Vincent Rick,PHI,30.12,20.28,13.86,13.98,10.35,12.96,13.46,13.24,11.89,12.42,13.31,13.32,12.00,15.01,12.52,13.32,14.91,14.35,15.85,17.17,16.01,11.63,16.45,15.61,18.10,15.82,20.58,17.00,12.34,,
Carlos Joaquim Dos Santos,SD,125.91,81.15,74.21,44.30,49.54,49.77,51.63,55.76,53.45,58.42,53.97,56.19,55.11,49.60,63.02,62.92,63.37,52.89,50.34,49.13,51.32,52.95,58.48,60.09,57.77,57.78,62.31,51.96,49.23,54.45,54.53
Pablo Eduardo Sisniega Fink,SD,65.06,85.23,74.01,72.87,63.38,66.98,71.97,73.04,65.20,67.84,65.77,65.23,62.44,67.67,70.82,77.63,65.20,71.63,72.77,76.53,61.13,74.22,73.81,72.93,84.44,86.80,87.53,82.60,84.27,,
Andrew Thomas,SEA,125.25,108.35,103.93,99.71,97.60,93.70,83.56,95.83,91.28,84.83,90.44,90.33,92.75,88.24,83.36,94.07,78.45,76.94,82.99,82.53,85.86,84.34,93.39,87.75,91.66,93.17,97.13,93.08,102.77,,
Stefan Frei,SEA,218.44,54.85,58.86,54.83,45.99,49.89,43.14,45.97,42.76,40.38,37.78,39.57,41.08,42.37,34.90,30.80,32.29,33.89,35.24,23.99,27.75,27.19,33.48,35.58,38.11,37.98,39.57,37.74,40.16,,
