player,team,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th
Evander Da Silva Ferreira,CIN,231.29,244.31,220.69,231.47,238.83,219.13,229.44,238.09,229.45,226.77,218.20,213.52,242.93
Jack Mcglynn,HOU,112.81,91.97,67.90,78.70,88.50,86.62,71.68,76.94,74.21,78.62,75.76,80.14,
Carles Gil De Pareja Vicent,NE,220.68,226.84,224.27,252.21,217.91,213.17,212.66,220.43,226.29,225.08,244.92,,
Albert Rusnak,SEA,192.62,113.97,111.70,99.91,88.67,107.45,101.99,104.40,90.32,86.10,90.83,83.64,91.93
Djordje Mihailovic,TOR,144.17,103.33,113.87,111.30,109.80,106.86,104.18,102.26,96.26,100.51,99.25,92.66,96.00
Jeppe Tverskov,SD,200.21,196.35,187.85,202.47,207.70,196.31,194.84,205.26,203.49,209.47,198.47,207.64,205.12
Paxten Aaronson,COL,71.57,54.48,30.48,37.46,38.77,46.03,38.87,39.55,35.12,37.28,33.66,27.41,32.83
Marky Delgado,LAFC,43.98,51.96,45.65,41.78,48.70,42.82,38.57,45.28,50.43,48.24,49.13,51.91,48.74
Rodrigo Javier De Paul,MIA,178.73,112.11,110.64,98.22,97.06,90.36,90.07,83.05,83.80,96.86,100.81,102.06,101.67
James David Rodriguez Rubio,MIN,103.47,74.62,94.99,89.96,110.60,101.16,106.37,102.43,96.26,94.94,99.64,90.70,99.48
Nectarios Triantis,MIN,28.04,34.89,27.58,26.23,24.84,23.60,20.28,19.38,20.04,20.76,22.83,22.53,27.46
Cristian Omar Espinoza,NSH,105.12,86.55,82.15,81.37,86.25,82.30,83.96,83.95,86.29,86.00,87.31,94.45,104.34
Hany Mukhtar,NSH,167.29,155.16,153.18,151.06,153.21,150.07,148.52,135.17,130.20,129.09,133.50,135.95,132.41
Nicolas Fernandez Mercau,NYC,146.18,62.57,56.20,57.63,59.08,60.30,58.45,52.59,56.57,49.58,50.31,52.50,53.29
Marco Pasalic,ORL,53.87,42.10,45.47,45.71,46.67,39.27,38.37,39.12,38.18,,,,
Cristian Roldan,SEA,142.60,79.28,66.63,77.47,77.81,83.09,80.79,76.35,77.28,72.99,91.22,75.44,72.81
Marcel Hartel,STL,94.74,63.85,70.79,72.25,72.64,71.60,68.19,64.86,66.05,69.95,73.12,60.73,64.06
Aleksey Miranchuk,ATL,41.17,33.28,34.49,34.98,33.15,36.48,34.73,32.11,33.28,,,,
Dylan Chambost,CLB,33.42,46.39,37.07,33.18,34.86,33.28,32.25,32.03,32.94,,,,
Pep Biel Mas Jaume,CLT,71.98,65.32,73.17,72.37,77.59,76.21,74.56,75.77,75.55,77.83,69.88,73.65,74.03
Hassani Dotson,SEA,53.85,11.63,7.58,9.76,11.06,11.29,11.07,11.65,12.94,,,,
Manuel Garcia Alonso,SKC,26.09,19.72,17.61,16.21,16.84,18.03,18.51,17.47,18.04,,,,
